session	stream	kind	pos	t_ms	dur_ms	got	want	prev	n_wrong	blind	n_bs	immediate
20260913-204049	6	sum	198	54656.4	3	-	-	-	0	0	0	0
20260913-205825	1	ep	19	5465.1	455.3	k	j	m	1	0	1	1
20260913-205825	1	sum	183	50320.8	1	-	-	-	0	0	0	0
20260913-205825	2	ep	46	11947.6	959.6	,	.	c	1	1	2	0
20260913-205825	2	ep	74	20316.3	511.7	,	.	i	1	0	1	1
20260913-205825	2	ep	90	25106.6	494.7	b	h	l	1	0	1	1
20260913-205825	2	sum	201	54356.3	3	-	-	-	0	0	0	0
20260913-205825	3	ep	11	3045.2	632.8	o	b	f	1	0	1	1
20260913-205825	3	ep	115	32328.8	500.3	/	;	z	1	0	1	1
20260913-205825	3	sum	167	46170.1	2	-	-	-	0	0	0	0
20260913-205825	4	ep	36	8754.6	1183.8	u	s	i	3	2	3	0
20260913-205825	4	ep	43	11417.0	549.6	v	y	,	1	0	1	1
20260913-205825	4	ep	64	17264.7	898.5	n	m	k	2	1	2	0
20260913-205825	4	ep	123	33849.7	873.6	s	x	/	1	0	1	1
20260913-205825	4	ep	178	49655.9	590.8	o	e	t	1	0	1	1
20260913-205825	4	sum	207	56092.5	5	-	-	-	0	0	0	0
20260913-205825	5	ep	26	6619.5	960.4	e	w	f	2	1	2	0
20260913-205825	5	ep	39	10655.4	501.4	,	.	g	1	0	1	1
20260913-205825	5	ep	59	17607.7	538.7	s	g	y	1	0	1	1
20260913-205825	5	sum	148	41508.4	3	-	-	-	0	0	0	0
20260913-205825	6	sum	121	32389.1	0	-	-	-	0	0	0	0
20260913-205825	7	sum	149	40427.3	0	-	-	-	0	0	0	0
20260913-205825	8	ep	195	53172.0	500.5	;	/	n	1	0	1	1
20260913-205825	8	sum	198	53791.8	1	-	-	-	0	0	0	0
20260913-205825	9	ep	6	1117.8	705.5	q	p	n	1	0	1	1
20260913-205825	9	ep	46	13139.8	654.0	q	u	/	1	0	1	1
20260913-205825	9	ep	87	24602.4	1032.2	i	q	o	2	1	2	0
20260913-205825	9	ep	95	27571.7	747.0	a	z	e	1	0	1	1
20260913-205825	9	ep	115	34137.5	577.0	a	m	l	1	0	1	1
20260913-205825	9	sum	149	41460.3	5	-	-	-	0	0	0	0
20260913-205825	10	ep	23	6203.6	515.6	.	,	j	1	0	1	1
20260913-205825	10	sum	146	42141.8	1	-	-	-	0	0	0	0
20260913-205825	11	ep	19	4807.3	526.2	,	.	j	1	0	1	1
20260913-205825	11	ep	64	18119.8	774.0	w	m	n	1	0	1	1
20260913-205825	11	ep	119	35027.8	529.6	a	s	d	1	0	1	1
20260913-205825	11	sum	155	44893.9	3	-	-	-	0	0	0	0
