pair	err_p0n0	err_p0n1	err_p1n0	err_p1n1
cd	0.0057	0.0135	0.0452	0.0299
ce	0.0040	0.0094	0.0319	0.0210
cf	0.0042	0.0099	0.0333	0.0219
cg	0.0042	0.0099	0.0333	0.0219
ch	0.0025	0.0060	0.0203	0.0133
ci	0.0018	0.0041	0.0142	0.0093
cj	0.0025	0.0060	0.0203	0.0133
ck	0.0025	0.0060	0.0203	0.0133
cl	0.0025	0.0060	0.0203	0.0133
cm	0.0039	0.0093	0.0313	0.0206
cn	0.0039	0.0093	0.0313	0.0206
co	0.0018	0.0041	0.0142	0.0093
cp	0.0018	0.0041	0.0142	0.0093
cq	0.0037	0.0087	0.0295	0.0194
cr	0.0029	0.0069	0.0234	0.0154
cs	0.0057	0.0134	0.0450	0.0297
ct	0.0029	0.0069	0.0234	0.0154
cu	0.0018	0.0041	0.0142	0.0093
cv	0.0065	0.0153	0.0510	0.0338
cw	0.0040	0.0094	0.0317	0.0209
cx	0.0089	0.0208	0.0685	0.0457
cy	0.0018	0.0041	0.0142	0.0093
cz	0.0083	0.0194	0.0639	0.0426
c;	0.0025	0.0060	0.0203	0.0133
c,	0.0039	0.0093	0.0313	0.0206
c.	0.0039	0.0093	0.0313	0.0206
c/	0.0039	0.0093	0.0313	0.0206
da	0.0053	0.0125	0.0419	0.0277
db	0.0065	0.0153	0.0510	0.0338
dc	0.0089	0.0209	0.0688	0.0459
dd	0.0004	0.0010	0.0035	0.0023
de	0.0040	0.0094	0.0319	0.0210
df	0.0042	0.0099	0.0333	0.0219
dg	0.0042	0.0099	0.0333	0.0219
dh	0.0025	0.0060	0.0203	0.0133
di	0.0018	0.0041	0.0142	0.0093
dj	0.0025	0.0060	0.0203	0.0133
dk	0.0025	0.0060	0.0203	0.0133
dl	0.0025	0.0060	0.0203	0.0133
dm	0.0039	0.0093	0.0313	0.0206
dn	0.0039	0.0093	0.0313	0.0206
do	0.0018	0.0041	0.0142	0.0093
dp	0.0018	0.0041	0.0142	0.0093
dq	0.0037	0.0087	0.0295	0.0194
dr	0.0029	0.0069	0.0234	0.0154
ds	0.0057	0.0134	0.0450	0.0297
dt	0.0029	0.0069	0.0234	0.0154
du	0.0018	0.0041	0.0142	0.0093
dv	0.0065	0.0153	0.0510	0.0338
dw	0.0040	0.0094	0.0317	0.0209
dx	0.0089	0.0208	0.0685	0.0457
dy	0.0018	0.0041	0.0142	0.0093
dz	0.0083	0.0194	0.0639	0.0426
d;	0.0025	0.0060	0.0203	0.0133
d,	0.0039	0.0093	0.0313	0.0206
d.	0.0039	0.0093	0.0313	0.0206
d/	0.0039	0.0093	0.0313	0.0206
ea	0.0053	0.0125	0.0419	0.0277
